item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location
6268885895,277366270,4MEN OFFICIAL,"Áo Hoodie Nam Sports Elegant 4MEN AK011 có nón chất vải terry cotton thấm mồ hôi, thoáng mát, form loose thoải mái",VND,3,2020-12-11,34,17,100011,No Brand,355000,355000,355000,-1,-1,0,11,1,0,0,1,9,4.545454545454546,TP. Hồ Chí Minh
22545997921,277366270,4MEN OFFICIAL,"Áo Thun Nam Cổ Trụ Thêu Form Slimfit 4MEN AT128 tôn dáng, vải mềm mịn, co giãn, thấm mồ hôi, thoáng mát, trẻ trung",VND,6,2023-06-20,11,1,100011,,275000,275000,275000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
23376054352,277366270,4MEN OFFICIAL,"Quần Jeans Xanh Regular Phối Dây Viền 4MEN QJ074, vải cotton mềm mại kết hợp spandex co giãn, thoải mái và thoáng khí",VND,10,2023-08-07,2,0,100011,,525000,525000,525000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
13898862204,277366270,4MEN OFFICIAL,"Quần Short Jeans Thêu Wave Form Regular 4MEN QS043 nam vải denim dày dặn, mềm mại, thoáng mát, co giãn, trẻ trung",VND,10,2023-05-24,6,1,100011,,385000,385000,385000,-1,-1,0,1,1,0,0,0,0,1.0,TP. Hồ Chí Minh
19359066403,277366270,4MEN OFFICIAL,"Quần Tây Nam Regular Detail 4MEN QT047 trơn dáng đứng đẹp, vải polyester chống nhăn, thoáng mát, trẻ trung",VND,2,2022-10-31,20,7,100011,,425000,425000,425000,-1,-1,0,2,0,0,0,0,2,5.0,TP. Hồ Chí Minh
21817907843,277366270,4MEN OFFICIAL,"Áo Thun Nam Form Regular In 4MEN AT081 sọc tay ngắn cổ tròn, vải cotton mềm mịn, thoáng mát, phong cách trẻ trung",VND,2,2022-07-01,19,3,100011,,215000,215000,215000,-1,-1,0,8,0,0,0,0,8,5.0,TP. Hồ Chí Minh
14497740987,277366270,4MEN OFFICIAL,"Áo thun nam cổ tròn ngắn tay 4MEN AT082 phông in sọc ngang, vải cotton thấm mồ hôi, thoáng mát, co giãn thoải mái",VND,309,2023-06-29,25,4,100011,,149000,149000,149000,245000,245000,39,10,0,0,0,1,9,4.9,TP. Hồ Chí Minh
20359062882,277366270,4MEN OFFICIAL,"Áo Khoác Nam Regular Da Lộn 4MEN AK043 chất liệu dày dặn, mềm mịn, tôn dáng sang trọng, lịch sự, nút bấm",VND,30,2022-10-31,14,21,100011,,685000,685000,685000,-1,-1,0,6,1,0,0,0,5,4.333333333333333,TP. Hồ Chí Minh
17585638735,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Linen Regular Giấu Nút 4MEN SM108 tay dài, cổ bẻ, vải linen thoáng mát, thấm mồ hôi tốt",VND,2,2022-09-19,16,15,100011,,445000,445000,445000,-1,-1,0,4,0,0,0,0,4,5.0,TP. Hồ Chí Minh
22209946251,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Tay Ngắn Flannel Regular đắp nhọn 4MEN SM124 caro cổ đứng thanh lịch, vải mềm mại thấm mồ hôi, thoáng mát",VND,2,2022-12-09,21,1,100011,,315000,315000,315000,-1,-1,0,4,0,0,0,0,4,5.0,TP. Hồ Chí Minh
20365435944,277366270,4MEN OFFICIAL,"Áo Thun Nam CVC Regular Elegant 4MEN AT118 cổ tròn, tay ngắn, basic, in họa tiết đẹp, trẻ trung, mềm mại, thấm mồ hôi",VND,1,2022-11-28,22,3,100011,,215000,215000,215000,-1,-1,0,7,0,0,0,0,7,5.0,TP. Hồ Chí Minh
18433302245,277366270,4MEN OFFICIAL,"Áo Polo Nam 4MEN PO046 cổ bẻ, tay ngắn bo viền, vải cotton dày dặn, mềm mại, thanh lịch, hiện đại",VND,45,2022-08-11,21,5,100011,,249000,249000,249000,315000,315000,21,6,0,0,0,0,6,5.0,TP. Hồ Chí Minh
19165448190,277366270,4MEN OFFICIAL,"Quần Tây Nam Slimfit Spike 4MEN QT050 ôm vừa vặn, tôn dáng, vải mềm mại, co giãn thoải mái, phong cách trẻ trung",VND,2,2022-11-28,15,4,100011,,425000,425000,425000,-1,-1,0,2,0,0,0,0,2,5.0,TP. Hồ Chí Minh
19707477494,277366270,4MEN OFFICIAL,"Áo PoLo Nam 4MEN Regular Stripes PO033 vải cotton cá sấu dày dặn thấm mồ hôi, form dáng đẹp, thanh lịch",VND,152,2022-06-01,31,6,100011,,249000,249000,249000,315000,315000,21,9,0,0,0,0,9,5.0,TP. Hồ Chí Minh
18765435170,277366270,4MEN OFFICIAL,"Áo Khoác Nam Regular Chạy Viền 4MEN AK044 form vừa vặn, khóa zipper tiện lợi, cổ đứng, vải dù xốp thoáng mát, mềm mại",VND,2,2022-11-28,14,5,100011,,595000,595000,595000,-1,-1,0,9,0,0,0,0,9,5.0,TP. Hồ Chí Minh
13741439469,277366270,4MEN OFFICIAL,"Ví da dáng đứng nam lịch sự 4MEN BV034 bền đẹp, nhiều ngăn đựng tiền, đựng thẻ tiện dụng, trẻ trung",VND,1,2021-11-02,6,2,100533,,245000,245000,245000,-1,-1,0,1,0,0,1,0,0,3.0,TP. Hồ Chí Minh
22445476596,277366270,4MEN OFFICIAL,"Quần Short Kaki Nam Túi Xéo Form Regular 4MEN QS041 túi sau, khóa kéo, nút tiện dụng, vải mềm mại, co giãn, thấm mồ hôi",VND,6,2023-06-14,6,1,100011,,345000,345000,345000,-1,-1,0,2,0,0,0,0,2,5.0,TP. Hồ Chí Minh
